index,IPA Transcription,Gloss,Translation,Word
2778,mùːðù ɡìcó ŋámɽāːɾè,CLk.leopard CLk-?bad very,The leopard is very bad,mùːðù ɡìcó ŋámɽāːɾè
2779,mùːðù kə̥có ŋámɽāːɾě ŋɡājēːðà,CLk.leopard CLk-?bad very ?.eat,"The leopard is very bad, it eats people.",mùːðù kə̥có ŋámɽāːɾě ŋɡājēːðà
2780,mùːðù kə̥có ŋámɽāːɾě,CLk.leopard CLk-?bad very,The leopard is very bad,mùːðù kə̥có ŋámɽāːɾě
2781,ŋɡājēːðà,?.eat,It (leopard) eats people.,ŋɡājēːðà
2782,mùðù ŋɡàɽíɲǎ ðōlā ŋāmɽàːrè,CLk.leopard ?-kill CL?.animal CL?.stealing?,The leopard kills animals by stealing.,mùðù ŋɡà-ɽíɲǎ ðōlā ŋāmɽàːrè
2783,mùðù ŋɡàɽíɲà ðòːlǎ,CLk.leopard ?-kill CL?.animal,leopard kills animals.,mùðù ŋɡà-ɽíɲà ðòːlǎ
2784,ŋ̀ɽòːmé,steal-?,(act of) stealing,ŋ̀ɽòːm-é
2785,ŋ̀ɽòːm,steal,steal,ŋ̀ɽòːm
2786,ŋ̀ɽòːmé,steal-?,(act of) stealing,ŋ̀ɽòːm-é
2787,ŋɡàɽíɲà ðōlā ŋāmɽàːré,?-kill CL?.animals CL?.stealing?,It (the leopard) kills animals by stealing.,ŋɡà-ɽíɲà ðōlā ŋāmɽàːré
2788,mùːðú nɔ̀ːlá íjéː āːnū ŋmɽàːrè,CLn.leopards CLn-tall CL?.body COP.? ?,The leopards are very tall by stealing (?),mùːðú n-ɔ̀ːlá íjéː āːnū ŋmɽàːrè
2789,mùːzú nɔ̀ːlà,CLn.leopards CLn-tall,The leopards are tall.,mùːzú n-ɔ̀ːlà
2790,mùːðú nɔ̀ːlǎ,CLn.leopards CLn-tall,The leopards are tall.,mùːðú n-ɔ̀ːlǎ
2791,mùːðú nɔ̀ːlá íjéː āːnū vr,CLn.leopards CLn-tall CL?.body COP.? very,The leopards are very tall.,mùːðú n-ɔ̀ːlá íjéː āːnū vr
2792,mùːðù ŋ̀ɡáɽíɲîːnò,CLk.leopard ?-kill-PASS,The leopard can be killed (is killed?).,mùːðù ŋ̀ɡá-ɽíɲîː-nò
2793,mùːðǔ ŋ̀ɡáɽíɲîːnɔ̀ làvràlè ɖè,CLk.leopard ?-kill-PASS CLl.stick CL-INS NEG,Leopard cannot be killed with a stick.,mùːðǔ ŋ̀ɡá-ɽíɲîː-nɔ̀ làvrà l-è ɖè
2794,mùːðù ŋ̀ɡáɽíɲîːnɔ̀ làvràlè ɖè,CLk.leopard ?-kill-PASS CLl.stick CL-INS NEG,Leopard cannot be killed with a stick.,mùːðù ŋ̀ɡá-ɽíɲîː-nɔ̀ làvrà l-è ɖè
2795,mùːðù ŋ̀ɡáɽíɲîːnɔ̌,CLk.leopard ?-kill-PASS,The leopard can be killed (is killed?).,mùːðù ŋ̀ɡá-ɽíɲîː-nɔ̌
2796,ŋ̀ɡáɽíɲîːnɔ̌,CLk.leopard ?-kill-PASS,It (the leopard) can be killed (is killed?).,ŋ̀ɡá-ɽíɲîː-nɔ̌
2797,mùːðǔ ŋ̀ɡáɽíɲîːnɔ̌,CLk.leopard ?-kill-PASS,The leopard can be killed (is killed?).,mùːðǔ ŋ̀ɡá-ɽíɲîː-nɔ̌
2798,làvràlːěː,CLl.stick CLl-INS,with stick,làvrà lː-ěː
2799,mùːðú ŋ̀ɡáɽíɲîːnɔ̀ làvràlè ɖè,CLk.leopard ?-kill-PASS CLl.stick CLl-INS NEG,Leopard cannot be killed with a stick.,mùːðú ŋ̀ɡá-ɽíɲîː-nɔ̀ làvrà l-è ɖè
2800,lə́vrâː,CLl.stick,stick,lə́vrâː
2801,lə̀vrǎː,CLl.stick,stick,lə̀vrǎː
2802,làvràlěː,CLl.stick CLl-INS,with stick,làvrà lěː
2803,ŋə̀vrà,CLŋ.sticks,sticks,ŋə̀vrà
2804,mùːðǔ àn ŋɔ̄lá ŋút̪ùːlínâ,CLk.leopard COP CLŋ.family CLŋ-GEN CLt.lion-?,The leopard is in the family of the lion.,mùːðǔ àn ŋɔ̄lá ŋ-ú t̪ùːlí-nâ
2805,mùːðǔ àn ŋɔ̄lá ŋʊ́t̪òːlíŋâ,CLk.leopard COP CLŋ.family CLŋ-GEN CLt.lion-?,The leopard is in the family of the lion.,mùːðù àn ŋɔ̄lá ŋ-ú t̪ùːlí-ŋâ
2806,mùːðú àn ŋɔ̄ːlá,CLk.leopard COP CLŋ.family,The leopard is in the family...,mùːðú àn ŋɔ̄ːlá
2807,ŋɔ̄ːlá,CLŋ.family,family,ŋɔ̄ːlá
2808,ŋʊ́t̪òːlínâ t̪òːlí,CLŋ-GEN CLt.lion-? CLt.lion,"of the lion, lion",ŋʊ́t̪òːlínâ t̪òːlí
2809,mùːðǔ ān ŋɔ̄lá ŋʊ́t̪òːlíŋâ,CLk.leopard COP CLŋ.family CLŋ-GEN CLt.lion-?,The leopard is in the family of the lion.,mùːðǔ ān ŋɔ̄lá ŋ-ʊ́ t̪òːlí-ŋâ
2810,t̪òːlī,CLt.lion,lion,t̪òːlī
2811,t̪òːlǐ,CLt.lion,lion,t̪òːlī
2812,ŋʊ́t̪òːlíŋá,CLŋ-GEN CLt.lion-?,of the lion,ŋ-ʊ́ t̪òːlí-ŋá
2813,t̪òːlí t̪òːlì,CLt.lion CLt.lion,"lion, lions (same form)",t̪òːlí t̪òːlì
2814,mùːðù àn ŋɔ̄lá ŋʊ́t̪òːlīŋà,CLk.leopard COP CLŋ.family CLŋ-GEN CLt.lion-?,The leopard is in the family of the lion.,mùːðù àn ŋɔ̄lá ŋ-ʊ́ t̪òːlī-ŋà
2815,mùːðú ǎn ŋɔ̄lā ŋʊ̀t̪òːlìŋà,CLk.leopard COP CLŋ.family CLŋ-GEN CLt.lion-?,The leopard is in the family of the lion.,mùːðù àn ŋɔ̄lá ŋ-ʊ́ t̪òːlī-ŋà
2816,mùːðú kòɲá ŋāmānū ŋàmɽāːrè,CLk.leopard ?.has CLŋ?.power-ACC? very/a.lot?,Leopard has a lot of power/is very powerful.,mùːðú kòɲá ŋāmā-nū ŋàmɽāːrè
2817,ŋàmɽáːré,very?,very/a lot,ŋàmɽáːré
2818,mùːðú kòɲá ŋāmāːnú,CLk.leopard ?.has CLŋ?.power-ACC?,Leopard has power/is powerful,mùːðú kòɲá ŋāmā-nū
2819,ŋama,CLŋ?.power,power,ŋama
2820,ŋāmàː,CLŋ?.power,power,ŋāmàː
2821,ŋàmáːnú,CLŋ?.power-ACC?,power (object form?),ŋàmáː-nú
2822,ŋàmɽáːrè,very?,very/a lot,ŋàmɽáːrè
2823,mùːðù kòɲá ŋāmānū ŋàmɽāːrè,CLk.leopard ?.has CLŋ?.power-ACC? very/a.lot?,Leopard has a lot of power/is very powerful.,mùːðù kòɲá ŋāmā-nū ŋàmɽāːrè
2824,mùːðù kòɲá ŋámānū ŋàmɽāːrè,CLk.leopard ?.has CLŋ?.power-ACC? very/a.lot?,Leopard has a lot of power/is very powerful.,mùːðù kòɲá ŋámā-nū ŋàmɽāːrè
2825,mùːðù ŋɡāɖíjɐ̀ː ūːɽì ɛ̀lōː àvàn,CLk.leopard ?-stay CLk.trees above often,Leopard often stays up in the trees.,mùːðù ŋɡā-ɖíjɐ̀ː ūːɽì ɛ̀lōː àvàn
2826,mùːðù ŋɡāɖíjɐ̌ː ūːɽǐ ɛ̄lō àvàn,CLk.leopard ?-stay CLk.trees above often,Leopard often stays up in the trees.,mùːðù ŋɡā-ɖíjɐ̀ː ūːɽì ɛ̀lōː àvàn
2827,ɛ̄ló,above,above,ɛ̄ló
2828,ūːɽǐ,CLk.trees,"trees, forest",ūːɽǐ
2829,mùːðú ŋɡāɖíjɐ̌ː,CLk.leopard ?-stays,Leopard stays,mùːðú ŋɡā-ɖíjɐ̌ː
2830,ɖíjɐ̌ː,stay,stay,ɖíjɐ̌ː
2831,ŋɡāɖíjɐ̌ː,?-stays,It (the leopard) stays.,ŋɡā-ɖíjɐ̌ː
2832,ŋɡāɖíjɐ̀ː,?-stays,It (the leopard) stays.,ŋɡā-ɖíjɐ̀ː
2833,ávàn,often,very much,ávàn
2834,ðūːɽì,CLð.tree,tree,ðūːɽì
2835,ðūːɽǐ,CLð.tree,tree,ðūːɽì
2836,ðɯ̄ːɽǐ,CLð.tree,tree,ðūːɽì
2837,mùːðú ŋɡāɖíjɐ̌ː ūːɽì ɛ̄lō àvàn,CLk.leopard ?-stay CLk.trees above often,Leopard often stays up in the trees.,mùːðú ŋɡā-ɖíjɐ̌ː ūːɽì ɛ̄lō àvàn
2838,mùːðù ŋɡāɖíjɐ̄ː ūːɽì ɛ̄lō àvàn mùːðù ŋɡāɖíjɐ̄ː ūːɽì ɛ̄lō àvàn,CLk.leopard ?-stay CLk.trees above often,Leopard often stays up in the trees.,mùːðù ŋɡā-ɖíjɐ̄ː ūːɽì ɛ̄lō àvàn
2839,mùːðù ŋɡāɖíjɐ̄ː ūːɽì ɛ̄lō àvàn,CLk.leopard ?-stay CLk.trees above often,Leopard often stays up in the trees.,mùːðù ŋɡà-ɖíjɐ̀ː úːɽì ɛ́ló àvàn
2840,ðùːɽí ðɔ̀ːlà,CLð.tree CLð-tall,The tree is tall.,ðùːɽí ð-ɔ̀ːlà
2841,ðùːɽí ðɔ̀là,CLð.tree CLð-tall,The tree is tall.,ðùːɽí ð-ɔ̀ːlà
2842,ðùːɽì ðɔ̀là,CLð.tree CLð-tall,The tree is tall.,ðùːɽì ð-ɔ̀ːlà
2843,ɔ̀lá,tall,tall,ɔ̀lá
2844,ùːɽí kɔ̀là,CLk.trees CLk-tall,The trees are tall.,ùːɽì k-ɔ̀ːlà
2845,ùːɽì kɔ̀là,CLk.trees CLk-tall,The trees are tall.,ùːɽì k-ɔ̀ːlà
2846,ɪ̄ŋɡɑ́nônà ðùːɽì t̪ɔ́wànì,? CLð.tree now,I am about to see a tree now.,ɪ̄-ŋɡɑ́-nônà ðùːɽì t̪ɔ́wàní
2847,ɪ̄ŋɡɑ́nônà ùːɽì t̪ɔ́wànì,? CLð.tree now,I am about to see the trees now.,ɪ̄-ŋɡɑ́-nônà ðùːɽì t̪ɔ́wàní
2848,t̪òːlí t̪ɔ̀ːlà,CLt.lion CLt-tall,The lion is tall,t̪òːlí t̪-ɔ̀ːlà
2849,t̪òːlí,CLt.lion,lion,t̪òːlí
2850,t̪òːlî,CLt.lion,lion,t̪òːlí
2851,t̪òːlì,CLt.lion,lion,t̪òːlí
2852,ɪ̄ŋɡɑ́nônà t̪òːlìɲâ,? CLt.lion-ACC,I am about to see the lion.,ɪ̄-ŋɡɑ́-nônà t̪òːlì-ɲâ
2853,ɪ̄ŋɡɑ́nônà t̪òːlìɲá t̪ɔ́wànî,? CLt.lion-ACC now,I am about to see the lions now.,ɪ̄-ŋɡɑ́-nônà t̪òːlì-ɲá t̪ɔ́wànî
2854,t̪òːlìɲâ,CLt.lion-ACC,lion (object form),t̪òːlì-ɲâ
2855,lommun ?,,number,
2856,lɛ́nnê,CLl-one,one,l-ɛ́nnê
2857,(whistle),CLɲ.dogs CLɲ-two,two dogs,ɲɛ̌n ɲ-ɛ́ɽcân
2858,kɛ́ně,CLk-any,any,k-ɛ́nê
2859,lɛ́nê,CLl-any,any,l-ɛ́nê
2860,lɛ́nně lɛ́nê,CLl-one CLl-any,"one, any",l-ɛ́nnê l-ɛ́nê
2861,lɛ́nně,CLl-one,one,l-ɛ́nnê
2862,ŋɛ̌n ŋɛ́nnê,CLŋ.dog CLŋ-one,one dog,ŋɛ̌n ŋ-ɛ́nnê
2863,ɲɪ̌n ɲɛ́nê (?),CLɲ.dog(s) CLɲ-any,any dog (dogs?),ɲɪ̌n ɲ-ɛ́nê
2864,ŋěn ŋɛ́nê,CLŋ.dog CLŋ-any,any dog,ŋěn ŋ-ɛ́nê
2865,ŋɛ̌n ŋɛ́nê,CLŋ.dog CLŋ-any,any dog,ŋěn ŋ-ɛ́nê
2866,ɲɛ̌n,CLɲ.dogs,dogs,ɲɛ̌n
2867,ɲɛ̌n ɲɛ́ɽcân,CLɲ.dogs CLɲ-two,two dogs,ɲɛ̌n ɲ-ɛ́ɽcân
2868,ɲɛ̌n ɲɛ̄ɽcân,CLɲ.dogs CLɲ-two,two dogs,ɲɛ̌n ɲ-ɛ́ɽcân
2869,ɲɛ̄ɽcân ɲɛ̄ɽcân,CLɲ-two CLɲ-two,two (dogs),ɲ-ɛ́ɽcân ɲɛ̌n ɲ-ɛ́ɽcân
2870,ɲɛ̄ɽcân,CLɲ-two,two (dogs),ɲ-ɛ́ɽcân
2871,ŋɛ̌n ŋʊ̀clò,CLŋ.dog CLŋ-good,The dog is good.,ŋɛ̌n ŋ-ʊ̀clò
2872,ŋʊ̀clò,CLŋ-good,(The dog) is good.,ŋ-ʊ̀clò
2873,ŋùclò ŋʊ̀clò,CLŋ.dog CLŋ-good,The dog is good.,ŋɛ̌n ŋ-ʊ̀clò
2874,jâŋǔ ŋɛ̄nɛ́ ūnːɛ̄ːɾɛ̀,? CLŋ.dog-ACC yesterday,I saw a dog yesterday,jâŋǔ ŋɛ̄n-ɛ́ ūnːɛ̄ːɾɛ̀
2875,jáŋú ŋɪ́nɛ́ ùnːɛ́ːɾɛ̀,? CLŋ.dog-ACC yesterday,I saw a dog yesterday,s
2876,ɖōɹɪ̀,CLl.mountain,mountain,ɖōɹɪ̀
2877,àjɛ̀ːn,CLj?.country,"country, hill, mountain",àjɛ̀ːn
2878,ŋɛ̀ːn,CLŋ.country,"countries, hills, mountains",ŋɛ̀ːn
2879,àjɛ̌ːn,CLj?.country,"country, hill, mountain",àjɛ̀ːn
2880,ɖóɹɪ̌,CLl.mountain,mountain,ɖóɹɪ̌
2881,ɖòɾɪ̀,CLl.mountain,mountain,ɖòɾɪ̀
2882,ŋɪ́ kùmnà àjɛ̌ːn ìnùːbà,? ? CLj?.country CLj?.GEN-Nuba,I come/am from the Nuba mountains (the country of Nuba),ŋɪ́ kùmnà àjɛ̌ːn ì-nùːbà
2883,àjɛ̌ːn ínúːbá ŋúɖòɾí ŋ̀nùːbà,CLj?.country CLj?.GEN-Nuba CLŋ.mountains CLŋ.GEN-Nuba,The Nuba mountains (the country of Nuba) or the Nuba mountains,àjɛ̌ːn í-núːbá ŋú-ɖòɾí ŋ̀-nùːbà
2884,ŋɪ́ː km̀nǎː ájɛ̌n ínúːbà,? ? CLj?.country CLj?.GEN-Nuba,I come/am from the Nuba mountains (the country of Nuba),ŋɪ́ː km̀nǎː ájɛ̌n í-núːbà
2885,ŋɪ́ kmnàː ájɛ́ːn ínúːbà,? ? CLj?.country CLj?.GEN-Nuba,I come/am from the Nuba mountains (the country of Nuba),ŋɪ́ kmnàː ájɛ́ːn í-núːbà
2886,jénúːbà  jénúːbà ,CLj?.GEN-Nuba CLj?.GEN-Nuba,of Nuba,jé-núːbà  jé-núːbà 
2887,jénúːbà  ,CLj?.GEN-Nuba,of Nuba,jé-núːbà  
2888,ine ajɛn inuːba,,?,
2889,ŋɪ́ km̀nǎː ŋúɖòɾí ŋ̀nùːbà,? ? CLŋ.mountains CLŋ.GEN-Nuba,I come/am from the Nuba mountains (the mountains of Nuba),ŋɪ́ km̀nǎː ŋúɖòɾí ŋ̀-nùːbà
2890,ŋɪ́ kə̀mnàː ŋúɖòɾì ŋ́núːbà,? ? CLŋ.mountains CLŋ.GEN-Nuba,I come/am from the Nuba mountains (the mountains of Nuba),ŋɪ́ kə̀mnàː ŋúɖòɾì ŋ́-núːbà
2891,ŋɪ́ kə̀mnǎː ŋúɖòɾǐ ŋ́núːbà,? ? CLŋ.mountains CLŋ.GEN-Nuba,I come/am from the Nuba mountains (the mountains of Nuba),ŋɪ́ km̀nǎː ŋúɖòɾí ŋ̀-nùːbà
2892,ŋʊ́núːbà,CLŋ.GEN-Nuba,of Nuba,ŋʊ́-núːbà
2893,ŋɪ́ː km̀nǎː ájɛ̌n ínúːbǎ,? ? CLj?.country CLj?.GEN-Nuba,I come/am from the Nuba mountains (the country of Nuba),ŋɪ́ː km̀nǎː ájɛ̌n í-núːbǎ
2894,ɖòːɾɪ̌,CLl.mountain,mountain,ɖòːɾɪ̌
2895,ɖòːɾɪ̌ lɪ̀clò,CLl.mountain CLl-good,The mountain is good.,ɖòːɾɪ̌ l-ɪ̀clò
2896,lɪ̀clò,CLl-good,It is good.,l-ɪ̀clò
2897,ɖòːɾɪ̀ lɪ̀clò,CLl.mountain CLl-good,The mountain is good.,ɖòːɾɪ̀ l-ɪ̀clò
2898,àjɛ̀n,CLj?.country,mountain,àjɛ́n
2899,àjɛ́n jɛ̀clò,CLj?.country CLj?-good,"The country is good (country, hill, mountain)",àjɛ́n j-ɛ̀clò
2900,ɲɛ̀n,CLɲ.countries,"countries, hills, mountains",ɲɛ̀n
2901,ɲɛ́n ɲɪ̀clò,CLɲ.countries CLɲ-good,"The countries are good (country, hill, mountain)",ɲɛ́n ɲ-ɪ̀clò
2902,ɲɛ̀n ɲɛ̀hɛ̀n ɲɪ̀clò,CLɲ.countries CLɲ.countries CLɲ-good,"The countries are good (country, hill, mountain)","ɲɛ̀n, ɲɛ̀hɛ̀n ɲ-ɪ̀clò"
2903,ɲɛ̌n ɲɪ̀clò,CLɲ.countries CLɲ-good,"The countries are good (country, hill, mountain)",ɲɛ̌n ɲ-ɪ̀clò
2904,ɲɛ̌n ɲɛ̀clò,CLɲ.countries CLɲ-good,"The countries are good (country, hill, mountain)",ɲɛ̌n ɲ-ɛ̀clò
2905,jāŋǔ ājnɛ́ ūnːɛ̄ːɾɛ̀,? CLj.country-ACC yesterday,"I saw the country yesterday (country, hill, mountain)",jāŋǔ ājn-ɛ́ ūnːɛ̄ːɾɛ̀
2906,ūnːɛ̄ːɾɛ̀,yesterday,yesterday,ūnːɛ̄ːɾɛ̀
2907,jáŋú ájnɛ́ únːɛ̀ːɾɛ̀,? CLj.country-ACC yesterday,"I saw the country yesterday (country, hill, mountain)",jáŋú ájn-ɛ́ únːɛ̀ːɾɛ̀
2908,ájnɛ́,CLj.country-ACC,"country, hill, mountain  (object form)",ájn-ɛ́
2909,jáŋú ĺɖòɾɲá ùnːɛ́ːɾɛ̀,? CLl.mountain-ACC yesterday,"I saw the mountain yesterday (country, hill, mountain)",jáŋú ĺɖòɾ-ɲá ùnːɛ́ːɾɛ̀
2910,jáŋú ĺɖòɾɲǎ ùnːɛ́ːɾɛ̀,? CLl.mountain-ACC yesterday,"I saw the mountain yesterday (country, hill, mountain)",jáŋú ĺɖòɾ-ɲǎ ùnːɛ́ːɾɛ̀
2911,jáŋú ĺɖòɾɲà ùnːɛ́ːɾɛ̀,? CLl.mountain-ACC yesterday,"I saw the mountain yesterday (country, hill, mountain)",jáŋú ĺɖòɾ-ɲà ùnːɛ́ːɾɛ̀
2912,ĺɖóɾɲà ĺɖóɾɲà,CLl.mountain-ACC CLl.mountain-ACC,mountain (object form),ĺɖóɾ-ɲà ĺɖóɾ-ɲà
2913,jáŋú ĺɖōɾɲà ùnːɛ́ːɾɛ̀,? CLl.mountain-ACC yesterday,"I saw the mountain yesterday (country, hill, mountain)",jáŋú ĺɖōɾ-ɲà ùnːɛ́ːɾɛ̀
2914,ĺɖóɾɲâ ĺɖóɾɲâ,CLl.mountain-ACC CLl.mountain-ACC,mountain (object form),ĺɖóɾ-ɲâ ĺɖóɾ-ɲâ
2915,lɔ̄ːɾɔ́ lɪ̀cɽò,CLl.back-NOM CLl-good,The back (body part) is good.,lɔ̄ːɾ-ɔ́ l-ɪ̀cɽò
2916,jáŋú lɔ́ːrá ūnːɛ̄ːɾɛ̀,? CLl.back-ACC yesterday,I saw the back (body part) yesterday.,jáŋú lɔ́ːr-á ūnːɛ̄ːɾɛ̀
2917,lɔ́ːrâ lɔ́ːrâ,CLl.back-ACC CLl.back-ACC,back (body part) (object form),lɔ́ːr-â lɔ́ːr-â
2918,lārō,CLl.rock,rock,lārō
2919,lārǒ lɪ̀cɽò,CLl.rock CLl-good,the rock is good,lārǒ l-ɪ̀cɽò
2920,lārō lɪ̄cɽō,CLl.rock CLl-good,the rock is good,lārō l-ɪ̄cɽō
2921,láró lɪ̀cɽò,CLl.rock CLl-good,the rock is good,láró l-ɪ̀cɽò
2922,jáŋú làró ūnːɛ̄ːɾɛ̀,? CLl.rock.ACC yesterday,I saw the rock yesterday.,jáŋú làró ūnːɛ̄ːɾɛ̀
2923,jáŋú láró ūnːɛ̄ːɾɛ̀,? CLl.rock.ACC yesterday,I saw the rock yesterday.,jáŋú láró ūnːɛ̄ːɾɛ̀
2924,jáŋǔ lárǒ ūnːɛ̄ːɾɛ̀,? CLl.rock.ACC yesterday,I saw the rock yesterday.,jáŋú láró ūnːɛ̄ːɾɛ̀
2925,lárʊ̂ lɪ̀cɽò,CLl.rock CLl-good,the rock is good,lárʊ̂ l-ɪ̀cɽò
2926,lárʊ̂,CLl.rock,rock,lárʊ̂
2927,lárǒ lɪ̀cɽò,CLl.rock CLl-good,the rock is good,lárǒ l-ɪ̀cɽò
2928,jáŋǔ lárʊ̌ ūnːɛ̄ːɾɛ̀,? CLl.rock.ACC yesterday,I saw the rock yesterday.,jáŋǔ lárʊ̌ ūnːɛ̄ːɾɛ̀
2929,ɔ̀ɽɟɛ̀n,CLk.gourd,"gourd, calabash 2",ɔ̀ɽɟɛ̀n
2930,lɔ̀ɽɟɛ̌n ɔ̀ɽɟɛ̀n,CLl.gourd CLk.gourd,"calabash 1, calabash 2",lɔ̀ɽɟɛ̌n ɔ̀ɽɟɛ̀n
2931,ɔ̀ɽɟɛ̌n lɔ̀ɽɟɛ̀n,CLk.gourdd CLl.gourd ,"calabash 2, calabash 1",ɔ̀ɽɟɛ̌n lɔ̀ɽɟɛ̀n
2932,ɔ̀ɽɟɛ̌n kɪ̀clò,CLk.gourd CLk-good,The gourd is good.,ɔ̀ɽɟɛ̌n k-ɪ̀clò
2933,lɔ̀ɽɟɛ̌n lɛ̀clò,CLl.gourd CLl-good,The gourd is good.,lɔ̀ɽɟɛ̌n l-ɛ̀clò
2934,ɔ̀ɽɟɛ̌n kɪ̀clǒ lɔ̀ɽɟɛ̌n lɛ̀clò,CLk.gourd CLk-good CLl.gourd CLl-good,"The gourd (2) is good, the gourd (1) is good.",ɔ̀ɽɟɛ̌n k-ɪ̀clǒ lɔ̀ɽɟɛ̌n l-ɛ̀clò
2935,lɔ̀ɽɟɛ̀n lɛ̀clǒ (+whistle),CLl.gourd CLl-good,The gourd (1) is good.,lɔ̀ɽɟɛ̀n l-ɛ̀clǒ (Whistle: L.L L.L or M.M L.L)
2936,lɔ̀ɽɟɛ̀n lɛ̀clò,CLl.gourd CLl-good,The gourd is good.,lɔ̀ɽɟɛ̀n l-ɛ̀clò
2937,ndrèɟɛ̀n,CLn.gourds,"ɡourds, calabashes (1)",ndrèɟɛ̀n
2938,ndrě ɟɛ̀n,CLn.gourds,"ɡourds, calabashes (1)",ndrèɟɛ̀n
2939,ndrèɟɛ̀n nèclò,CLn.gourds CLn-good,The gourds are good.,ndrèɟɛ̀n n-èclò
2940,ndrèɟɛ̌n nèclò,CLn.gourds CLn-good,The gourds are good.,ndrèɟɛ̌n n-èclò
2941,jáŋú ɔ́ɽɟɛ́nɛ́ únːɛ̀ːɾɛ̀,? CLk.gourd-ACC yesterday,I saw the ɡourd yesterday.,jáŋú ɔ́ɽɟɛ́n-ɛ́ únːɛ̀ːɾɛ̀
2942,ɔ́ɽɟɛ́nɛ̌,CLk.gourd-ACC,I saw the ɡourd yesterday.,ɔ́ɽɟɛ́n-ɛ̌
2943,jáŋú lɔ́ɽɟɛ́nɛ́ únːɛ̀ːɾɛ̀,? CLl.gourd-ACC yesterday,I saw the ɡourd yesterday.,jáŋú lɔ́ɽɟɛ́n-ɛ́ únːɛ̀ːɾɛ̀
2944,ɔɽɟɛn ndreɟɛn lɔɽɟɛn ŋɔɽɟɛn,CLk.gourd CLn.gourds CLl.gourd CLŋ.gourds,gourd 2 -- gourds 2 -- gourd 1 -- gourds 1,ɔɽɟɛn ndreɟɛn lɔɽɟɛn ŋɔɽɟɛn
2945,jáŋū ŋɔ̄ɽɟɛ̄nɛ̄ únːɛ̀ːɾɛ̀,? CLŋ.gourd-ACC yesterday,I saw the ɡourds yesterday.,jáŋū ŋɔ̄ɽɟɛ̄n-ɛ̄ únːɛ̀ːɾɛ̀
2946,ɔɽɟɛn ndreɟɛn,CLk.gourd CLn.gourds,gourd 2 -- gourds 2,ɔɽɟɛn ndreɟɛn
2947,jáŋú ɔ́ɽɟɛ́nɛ́ únːɛ̀ːɾɛ̌,? CLk.gourd-ACC yesterday,I saw the ɡourd yesterday.,jáŋú ɔ́ɽɟɛ́n-ɛ́ únːɛ̀ːɾɛ̌
2948,jáŋú ndréɟɛ́nɛ́ únːɛ̀ːɾɛ̀,? CLn.gourds-ACC yesterday,I saw the ɡourds yesterday.,jáŋú ndréɟɛ́n-ɛ́ únːɛ̀ːɾɛ̀
2949,r̀ɭó,Clr.goat,goat,r̀ɭó
2950,r̀ɭó rèclò,Clr.goat Clr-good,the goat is good,r̀ɭó r-èclò
2951,r̀ɭó rə̀clò,Clr.goat Clr-good,the goat is good,r̀ɭó r-ə̀clò
2952,r̀ɭò rə̀clò,Clr.goat Clr-good,the goat is good,r̀ɭò r-ə̀clò
2953,ēɽò,CLj?.goats,ɡoats,ēɽò
2954,èɽǒ jɪ̀clò,CLj?.goats CLj-good,the goats are good,èɽǒ j-ɪ̀clò
2955,jèɽò jɪ̀clò,CLj?.goats CLj-good,the goats are good,jèɽò j-ɪ̀clò
2956,èɽò ɪ̀clò,CLj?.goats CLj?-good,the goats are good,èɽò Ø-ɪ̀clò
2957,èɽǒ ɪ̀clò,CLj?.goats CLj?-good,the goats are good,èɽǒ Ø-ɪ̀clò
2958,jāŋū ɺ́ɽò ùnːɛ̀ːɾɛ̀,? CLr.goat.ACC yesterday,I saw the goat yesterday,jāŋū ɺ́ɽò ùnːɛ̀ːɾɛ̀
2959,jāŋū ŕɽò ùnːɛ̀ːɾɛ̀,? CLr.goat.ACC yesterday,I saw the goat yesterday,jāŋū ŕɽò ùnːɛ̀ːɾɛ̀
2960,ŕɽò,CLr.goat.ACC,ɡoat,ŕɽò
2961,jáŋú ŕɽò ùnːɛ̀ːɾɛ̀,? CLr.goat.ACC yesterday,I saw the goat yesterday,jáŋú ŕɽò ùnːɛ̀ːɾɛ̀
2962,jáŋú éɽò ùnːɛ̀ːɾɛ̀,? CLj?.goats.ACC yesterday,I saw the goats yesterday,jáŋú éɽò ùnːɛ̀ːɾɛ̀
2963,rɔ̄mɔ̌,CLl.ram,ram,rɔ̄mɔ̌
2964,rɔ́mɔ̀ lɪ̀clò,CLl.ram CLl-good,The ram is good,rɔ́mɔ̀ l-ɪ̀clò
2965,ŋ́rɔ́mɔ̀,CLŋ.rams,rams,ŋ́rɔ́mɔ̀
2966,ŋ́rɔ́mɔ̌,CLŋ.rams,rams,ŋ́rɔ́mɔ̌
2967,ŋ́rɔ́mɔ̀ ŋʊ̀clò,CLŋ.rams CLŋ-good,The rams are good,ŋ́rɔ́mɔ̀ ŋ-ʊ̀clò
2968,ŋ́r..rɔ́mɔ̀,CLŋ.rams,rams,ŋ́rɔ́mɔ̀
2969,jáŋú ŋ́rɔ́mɔ̀ ùnːɛ́ːɾɛ̀,? CLŋ.rams.ACC yesterday,I saw the rams yesterday,jáŋú ŋ́rɔ́mɔ̀ ùnːɛ́ːɾɛ̀
